Row Count,Item Code,Item Name,Item Qty,Row Format,BOM,Option1,Option2,Option3
1,MCHALK-BLU+CHALKH-R+2KEYRING-PB,MASTER CHALK WITH HOLDER WITH KEY RING,1,Parent,Make,,,
2,MCHALK-BLU,MASTER CHALK,1,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
4,KEYRING-PB,POOL BALL KEY RING,2,,Use,,,
1,MCHALK-GRE+CHALKH-R,MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-GRE,MASTER CHALK,1,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,MCHALK-PIN+CHALKH-R,MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-PIN,MASTER CHALK,1,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,MCHALK-PIN+CHALKH-R+KEYRING-PB,MASTER CHALK WITH HOLDER WITH KEY RING,1,Parent,Make,,,
2,MCHALK-PIN,MASTER CHALK,1,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
4,KEYRING-PB,POOL BALL KEY RING,1,,Use,,,
1,MCHALK-RED+CHALKH-R,MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-RED,MASTER CHALK,1,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,MCHALK-RED+CHALKH-R+2KEYRING-PB,MASTER CHALK WITH HOLDER WITH KEY RING,1,Parent,Make,,,
2,MCHALK-RED,MASTER CHALK,1,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
4,KEYRING-PB,POOL BALL KEY RING,2,,Use,,,
1,MDF06-BLU-AK,6FT FOLDABLE POOL TABLE BLUE AK,1,Parent,Make,,,
2,MDF06-BLU,6FT FOLDABLE POOL TABLE BLUE,1,,Use,,,
3,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
1,MDF06-GRE-AK,6FT FOLDABLE POOL TABLE GREEN AK,1,Parent,Make,,,
2,MDF06-GRE,6FT FOLDABLE POOL TABLE GREEN,1,,Use,,,
3,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
1,MDF06-RED-AK,6FT FOLDABLE POOL TABLE RED AK,1,Parent,Make,,,
2,MDF06-RED,6FT FOLDABLE POOL TABLE RED,1,,Use,,,
3,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
1,MDF07BBLU-AK,7FT MDF BLACK / BLUE,1,Parent,Make,,,
2,MDF07TOP-BLU,7FT MDF TOP,1,,Use,Blue,,
3,MDF07BEAM-BLK,7FT MDF BEAM,1,,Use,Black,,
4,MDF07CUSH-BBLU,7FT MDF BLACK CUSHION,1,,Use,Blue,,
5,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
1,MDF07BGRE-AK,7FT MDF BLACK / GREEN,1,Parent,Make,,,
2,MDF07TOP-GRE,7FT MDF TOP,1,,Use,Green,,
3,MDF07BEAM-BLK,7FT MDF BEAM,1,,Use,black,,
4,MDF07CUSH-BGRE,7FT Cushion for MDF Pool Table Black / Green (Kid),1,,Use,Green,,
5,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
1,MDF07BRED-AK,7FT MDF BLACK / RED,1,Parent,Make,,,
2,MDF07TOP-RED,7FT MDF TOP,1,,Use,Red,,
3,MDF07BEAM-BLK,7FT MDF BEAM,1,,Use,Black,,
4,MDF07CUSH-BRED,7FT MDF BLACK CUSHION,1,,Use,Red,,
5,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
1,MDF07WBLK-AK,7FT MDF WALNUT / BLACK,1,Parent,Make,,,
2,MDF07TOP-BLK,7FT MDF TOP,1,,Use,Black,,
3,MDF07BEAM-WAL,7FT MDF BEAM,1,,Use,Walnut,,
4,MDF07CUSH-WBLK,7FT MDF WALNUT CUSHION,1,,Use,Black,,
5,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
1,MDF07WBLU-AK,7FT MDF WALNUT / BLUE,1,Parent,Make,,,
2,MDF07TOP-BLU,7FT MDF TOP,1,,Use,Blue,,
3,MDF07BEAM-WAL,7FT MDF BEAM,1,,Use,Walnut,,
4,MDF07CUSH-WBLU,7FT MDF WALNUT CUSHION,1,,Use,Blue,,
5,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
1,MDF07WGRE-AK,7FT MDF WALNUT / GREEN,1,Parent,Make,,,
2,MDF07TOP-GRE,7FT MDF TOP,1,,Use,Green,,
3,MDF07BEAM-WAL,7FT MDF BEAM,1,,Use,Walnut,,
4,MDF07CUSH-WGRE,7FT MDF WALNUT CUSHION,1,,Use,Green,,
5,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
